celltype,condition,gene,bb_mu
Cardiomyocyte,F1_Aged,Gk5,0.425531914893907
Cardiomyocyte,F1_Aged,Gm11613,0.370370370371399
Cardiomyocyte,F1_Aged,Gm12519,0.384615384615384
Cardiomyocyte,F1_Aged,Gm12724,0.428571428571438
Cardiomyocyte,F1_Aged,Gm16193,0.555555555555556
Cardiomyocyte,F1_Aged,Gm16793,0.707317073170732
Cardiomyocyte,F1_Aged,Gm17036,0.446808510637441
Cardiomyocyte,F1_Aged,Gm20618,0.103174603174617
Cardiomyocyte,F1_Aged,Gm26542,0.400000000000001
Cardiomyocyte,F1_Aged,Gm26724,0.647058823513055
Cardiomyocyte,F1_Aged,Gm26759,0.463768115965264
Cardiomyocyte,F1_Aged,Gm28609,0.624999999999986
Cardiomyocyte,F1_Aged,Gm29642,0.451612903270182
Cardiomyocyte,F1_Aged,Gm30624,0.77358490482689
Cardiomyocyte,F1_Aged,Gm32391,0.407407407407477
Cardiomyocyte,F1_Aged,Gm32786,0.35
Cardiomyocyte,F1_Aged,Gm33934,0.410714285714286
Cardiomyocyte,F1_Aged,Gm37459,0.734693877547312
Cardiomyocyte,F1_Aged,Gm37677,0.442622950819721
Cardiomyocyte,F1_Aged,Gm38134,0.20000000018201
Cardiomyocyte,F1_Aged,Gm45670,0.903954802136872
Cardiomyocyte,F1_Aged,Gm48321,0.561403508877118
Cardiomyocyte,F1_Aged,Gm49164,0.674364896072689
Cardiomyocyte,F1_Aged,Gm49959,0.417910447805511
Cardiomyocyte,F1_Aged,Gm5105,0.567901234567901
Cardiomyocyte,F1_Aged,Gm5481,0.317073170731707
Cardiomyocyte,F1_Aged,Gm55759,0.400000000001558
Cardiomyocyte,F1_Aged,Gm56583,0.470809792843747
Cardiomyocyte,F1_Aged,Gm57184,0.755102040816308
Cardiomyocyte,F1_Aged,Gmpr,0.456422018348624
Cardiomyocyte,F1_Aged,Gnptab,0.447236180901896
Cardiomyocyte,F1_Aged,Golim4,0.653846153846136
Cardiomyocyte,F1_Aged,Gpd1l,0.666666666664554
Cardiomyocyte,F1_Aged,Gpi1,0.601265822784522
Cardiomyocyte,F1_Aged,Gpn1,0.391304347826087
Cardiomyocyte,F1_Aged,Gpr107,0.434456928988189
Cardiomyocyte,F1_Aged,Gtf2a2,0.360294117647059
Cardiomyocyte,F1_Aged,Gtf2e2,0.558441558441549
Cardiomyocyte,F1_Aged,Gtf2f2,0.35672514619883
Cardiomyocyte,F1_Aged,Gzmm,0.312500000013096
Cardiomyocyte,F1_Aged,Hace1,0.402684563758516
Cardiomyocyte,F1_Aged,Hba-a2,0.468085106383114
Cardiomyocyte,F1_Aged,Hdac4,0.467010900747486
Cardiomyocyte,F1_Aged,Hdac7,0.469387755102042
Cardiomyocyte,F1_Aged,Hdgfl3,0.348314606747341
Cardiomyocyte,F1_Aged,Hectd4,0.565891472866918
Cardiomyocyte,F1_Aged,Helq,0.60714285714279
Cardiomyocyte,F1_Aged,Hmbox1,0.563559322033878
Cardiomyocyte,F1_Aged,Hmgn1,0.370370371511977
Cardiomyocyte,F1_Aged,Hnrnpl,0.568690095846294
Cardiomyocyte,F1_Aged,Hnrnpr,0.415384615384616
Cardiomyocyte,F1_Aged,Hp1bp3,0.544827586203266
Cardiomyocyte,F1_Aged,Hps5,0.673913043422599
Cardiomyocyte,F1_Aged,Hsdl2,0.554526748967243
Cardiomyocyte,F1_Aged,Hsf1,0.416666666669994
Cardiomyocyte,F1_Aged,Il10rb,0.639999999020632
Cardiomyocyte,F1_Aged,Inpp5b,0.37500000000001
Cardiomyocyte,F1_Aged,Inpp5k,0.628571428571428
Cardiomyocyte,F1_Aged,Ints4,0.482404692082118
Cardiomyocyte,F1_Aged,Ip6k2,0.373626373626374
Cardiomyocyte,F1_Aged,Isca1,0.429447852768721
Cardiomyocyte,F1_Aged,Itfg2,0.471428571430288
Cardiomyocyte,F1_Aged,Itprid2,0.396946564885496
Cardiomyocyte,F1_Aged,Kctd8,0.36501901140691
Cardiomyocyte,F1_Aged,Klf6,0.364341085545306
Cardiomyocyte,F1_Aged,Klhl26,0.545454545448701
Cardiomyocyte,F1_Aged,Krba1,0.432692308041583
Cardiomyocyte,F1_Aged,Lcp1,0.693333333327009
Cardiomyocyte,F1_Aged,Ldlrad4,0.557209302320262
Cardiomyocyte,F1_Aged,Lhpp,0.581632653061224
Cardiomyocyte,F1_Aged,Lima1,0.586538461538461
Cardiomyocyte,F1_Aged,Lrrc20,0.559164732761615
Cardiomyocyte,F1_Aged,Lrrc8a,0.425925926314106
Cardiomyocyte,F1_Aged,Mark4,0.666666666665399
Cardiomyocyte,F1_Aged,Mboat2,0.344632768361626
Cardiomyocyte,F1_Aged,Mbtd1,0.536439665471817
Cardiomyocyte,F1_Aged,Mdga2,0.691176470588235
Cardiomyocyte,F1_Aged,Memo1,0.5481366459501
Cardiomyocyte,F1_Aged,Mfhas1,0.54091300597169
Cardiomyocyte,F1_Aged,Mgst3,0.452012383900929
Cardiomyocyte,F1_Aged,Mknk2,0.620689655172414
Cardiomyocyte,F1_Aged,Mlxip,0.554824561403496
Cardiomyocyte,F1_Aged,Mlxipl,0.535190615835394
Cardiomyocyte,F1_Aged,Mphosph9,0.448648648656214
Cardiomyocyte,F1_Aged,Mrap,0.377049180327869
Cardiomyocyte,F1_Aged,Mrpl33,0.450980392200186
Cardiomyocyte,F1_Aged,Mrps28,0.548780487770447
Cardiomyocyte,F1_Aged,Mrps31,0.423076923076926
Cardiomyocyte,F1_Aged,Msrb1,0.68681318681307
Cardiomyocyte,F1_Aged,Mtarc2,0.0681818182316108
Cardiomyocyte,F1_Aged,Mtmr3,0.525051951050269
Cardiomyocyte,F1_Aged,Mtres1,0.6
Cardiomyocyte,F1_Aged,Mtx3,0.587301587300911
Cardiomyocyte,F1_Aged,Mvp,0.368421052631579
Cardiomyocyte,F1_Aged,Myom1,0.519309081037017
Cardiomyocyte,F1_Aged,Mypn,0.522836178496549
Cardiomyocyte,F1_Aged,Nck2,0.617283950617276
Cardiomyocyte,F1_Aged,Ndufb8,0.551020408163265
Cardiomyocyte,F1_Aged,Nedd4l,0.57055789967182
Cardiomyocyte,F1_Aged,Nek4,0.441860465116653
Cardiomyocyte,F1_Aged,Ngly1,0.42723004694971
Cardiomyocyte,F1_Aged,Nhsl1,0.380952380952381
Cardiomyocyte,F1_Aged,Nlrp5-ps,0.264367816091963
Cardiomyocyte,F1_Aged,Nr4a2,0.350122850122882
Cardiomyocyte,F1_Aged,Ntmt1,0.403846153846154
Cardiomyocyte,F1_Aged,Numb,0.461899179367291
Cardiomyocyte,F1_Aged,Oaz2,0.415094339622642
Cardiomyocyte,F1_Aged,Ogfrl1,0.758620689644918
Cardiomyocyte,F1_Aged,Olfml2b,0.797297297271139
Cardiomyocyte,F1_Aged,Parp3,0.584615384245531
Cardiomyocyte,F1_Aged,Pde1a,0.64
Cardiomyocyte,F1_Aged,Pdk4,0.432348254504793
Cardiomyocyte,F1_Aged,Pecr,0.551724137134962
Cardiomyocyte,F1_Aged,Pfdn1,0.570796460051403
Cardiomyocyte,F1_Aged,Pfkp,0.545304777594538
Cardiomyocyte,F1_Aged,Phb2,0.589041095883577
Cardiomyocyte,F1_Aged,Phf21a,0.5357590966106
Cardiomyocyte,F1_Aged,Phlda1,0.576064908721857
Cardiomyocyte,F1_Aged,Phldb2,0.633333333333333
Cardiomyocyte,F1_Aged,Pi4kb,0.442307692310367
Cardiomyocyte,F1_Aged,Pias2,0.475300400534105
Cardiomyocyte,F1_Aged,Pigl,0.456140350897692
Cardiomyocyte,F1_Aged,Pign,0.428884026260938
Cardiomyocyte,F1_Aged,Pigx,0.303030303039808
Cardiomyocyte,F1_Aged,Pitpnc1,0.447945751894731
Cardiomyocyte,F1_Aged,Pkig,0.540969899665281
Cardiomyocyte,F1_Aged,Pkn1,0.629629629629629
Cardiomyocyte,F1_Aged,Pknox2,0.576271186198341
Cardiomyocyte,F1_Aged,Pld1,0.609374999820125
Cardiomyocyte,F1_Aged,Plec,0.401015228426396
Cardiomyocyte,F1_Aged,Plekhm3,0.443396226561924
Cardiomyocyte,F1_Aged,Plekho1,0.172413794457773
Cardiomyocyte,F1_Aged,Plk2,0.325000000000416
Cardiomyocyte,F1_Aged,Plod2,0.566115702008107
Cardiomyocyte,F1_Aged,Plscr2,0.579913606889415
Cardiomyocyte,F1_Aged,Plscr4,0.872340425517793
Cardiomyocyte,F1_Aged,Polr2m,0.451612903285168
Cardiomyocyte,F1_Aged,Pomgnt1,0.393939394020082
Cardiomyocyte,F1_Aged,Pou2f1,0.551681195511967
