"","AR","N","log2FC","llr_mean","pval_mean"
"Tfdp2",0.578240740740741,18,0.118644496498619,0.00810124360357634,1
"Tgfb2",0.805555555555556,12,1.62803122261304,-2.70453403489666,0.0200324077415701
"Tgfbr3",0.516666666666667,20,0.160464672193246,0.0625729018199408,1
"Tgm2",0.48051948051948,11,0.321928094887362,0.056958320838234,1
"Thsd7a",0.370725108225108,22,-1.0163018123291,-1.28534329363699,0.108860474750579
"Timp2",0.36,15,-0.584962500721156,-1.27488062717021,0.110310923344027
"Timp3",0.593939393939394,11,-0.362570079384708,0.994450415764614,1
"Tiparp",0.382783882783883,13,-0.691877704637668,1.08268902320507,1
"Tle4",0.429487179487179,13,-0.20163386116965,0.490617608809504,1
"Tlk1",0.386363636363636,11,-0.415037499278843,-0.571967294439673,0.284822461655803
"Tll1",0.269736842105263,19,-1.76938707185858,-8.72183723999959,2.95947428326927e-05
"Tmcc1",0.597619047619048,12,0.400537929583729,-0.449002629227401,0.343317138313836
"Tmem108",0.359656084656085,18,-0.69389687227432,-0.663899315725978,0.24919722138488
"Tmem131",0.51875,16,0.186413124230882,-0.0376640030258315,0.783731538839244
"Tmem135",0.607142857142857,14,0.273018494406416,0.193309575172158,1
"Tmem245",0.379021164021164,15,-0.71822903158462,-1.45055247499052,0.0885188558398601
"Tmem65",0.436492673992674,20,-0.525091044743757,0.468304685771436,1
"Tmtc1",0.713048855905999,28,1.0815298854966,-5.95714041513688,0.000557052394858517
"Tnfaip8",0.594318181818182,20,0.643856189774725,-0.81859913915001,0.200710309308497
"Tnik",0.53641456582633,17,-0.293731203056711,0.19096438113371,1
"Tnks",0.514583333333333,16,0.229481846122768,-0.099955222569406,0.654793141829457
"Tnks2",0.44047619047619,14,-0.125530882083859,0.289601575141678,1
"Tnni3",0.382783882783883,13,-0.485426827170241,0.49447309528389,1
"Tnni3k",0.515826525705042,23,0.115477217419937,0.00461995046468644,1
"Tnnt2",0.547837186967622,23,0.664132714154763,-0.444926251030836,0.345517281570344
"Tnpo1",0.613636363636364,11,0.33703498727757,-0.17146108429322,0.558147327796037
"Tnpo3",0.416666666666667,10,-0.793549122532574,-1.22159551735967,0.118035889532204
"Tnrc6a",0.57962962962963,18,0.146841388329271,0.655938358360693,1
"Tnrc6b",0.537123015873016,20,0.145850866463455,-0.049062540750441,0.754091317235157
"Tnrc6c",0.650297619047619,16,0.550197082560479,-0.243250485589087,0.485492306735359
"Tns3",0.463888888888889,12,-0.180572245641821,0.00176583942209874,1
"Tom1l2",0.603422619047619,16,0.700439718141093,-1.05693264111313,0.14597021161613
"Top1",0.491941391941392,26,-0.144389909335175,0.105420047359743,1
"Tor1aip1",0.412222222222222,15,-0.796466605914868,-1.19876392672679,0.121527163899928
"Tpm1",0.528275613275613,20,0.204819791888499,0.110081940389101,1
"Tpp2",0.549019607843137,17,0.387023123109247,-0.250273229198875,0.47926011148338
"Tpr",0.653333333333333,15,0.893084796083488,0.546925175865361,1
"Tra2a",0.545833333333333,20,0.112474729258413,0.244395416229963,1
"Trabd2b",0.608928571428571,12,0.90689059560852,-1.77561739823945,0.059501155977306
"Trak2",0.387996031746032,12,-0.0801703486839833,0.297324617124723,1
"Trdn",0.543263518574605,26,-0.0438542895894267,0.0973538133469489,1
"Trim24",0.136363636363636,11,-1.88752527074159,-5.22086828836147,0.00123199384435416
"Trim55",0.360606060606061,11,-0.36923380966572,-0.354559516726521,0.399736426643424
"Trip11",0.60625,16,0.815575428862573,-1.50410489968375,0.0828437390931249
"Trip12",0.409567901234568,27,-0.560714954474479,-1.7177741350326,0.0638074033480675
"Trpm7",0.575757575757576,22,0.387023123109247,-0.0118041053916969,0.877885997370607
"Tsc22d2",0.383333333333333,10,-0.334419039070559,2.24665186690843,1
"Tshz2",0.462745098039216,17,0,0.0178282944628521,1
"Tspan5",0.583121537960248,31,0.234465253637023,0.228092212287144,1
"Ttc14",0.577380952380952,14,0.343954401217361,-0.321383719332516,0.422710440675496
"Ttc19",0.454761904761905,10,4.44089209850063e-16,-0.0030783480754053,0.937458474810304
"Ttc28",0.527777777777778,18,0.201633861169651,-0.0803076151088362,0.688590719943982
"Ttc3",0.605555555555556,15,0.347923303420307,-0.319138290231887,0.424335562174238
"Ttn",0.53845398647443,29,0.071212392499187,-0.176775650777785,0.552109676036539
"Tulp4",0.295,10,-0.120294233717712,2.75129528051881,1
