gene,condition
Galnt17,F1_Young
Gas2,F1_Young
Gata6os,F1_Young
Gcfc2,F1_Young
Gid4,F1_Young
Ginm1,F1_Young
Glrx3,F1_Young
Gm10138,F1_Young
Gm11508,F1_Young
Gm11732,F1_Young
Gm12353,F1_Young
Gm14966,F1_Young
Gm15328,F1_Young
Gm15523,F1_Young
Gm15856,F1_Young
Gm16124,F1_Young
Gm17473,F1_Young
Gm20045,F1_Young
Gm20125,F1_Young
Gm26621,F1_Young
Gm26885,F1_Young
Gm29237,F1_Young
Gm30054,F1_Young
Gm31013,F1_Young
Gm33474,F1_Young
Gm35254,F1_Young
Gm35417,F1_Young
Gm36201,F1_Young
Gm45025,F1_Young
Gm46637,F1_Young
Gm48882,F1_Young
Gm57182,F1_Young
Gm7160,F1_Young
Gmfb,F1_Young
Gmps,F1_Young
Gng12,F1_Young
Golga4,F1_Young
Got1,F1_Young
Gpam,F1_Young
Gpc1,F1_Young
Gpr137c,F1_Young
Gramd2b,F1_Young
Grik2,F1_Young
Grsf1,F1_Young
Gtf2b,F1_Young
Guf1,F1_Young
H1f2,F1_Young
H2bc4,F1_Young
Hcn1,F1_Young
Hdac1,F1_Young
Hdlbp,F1_Young
Heca,F1_Young
Hecw2,F1_Young
Herpud2,F1_Young
Hgsnat,F1_Young
Hikeshi,F1_Young
Hint1,F1_Young
Hmgb1,F1_Young
Hnrnpf,F1_Young
Hs3st5,F1_Young
Hspa14,F1_Young
Hspa9,F1_Young
Hus1,F1_Young
Ifnar2,F1_Young
Ift140,F1_Young
Ikbkb,F1_Young
Impact,F1_Young
Ing3,F1_Young
Ino80dos,F1_Young
Inpp5a,F1_Young
Inpp5f,F1_Young
Inppl1,F1_Young
Ints13,F1_Young
Ints14,F1_Young
Ipo11,F1_Young
Ipo8,F1_Young
Ireb2,F1_Young
Isg20l2,F1_Young
Itfg1,F1_Young
Itga9,F1_Young
Jak2,F1_Young
Kansl3,F1_Young
Kat6b,F1_Young
Kat7,F1_Young
Katnip,F1_Young
Kdm4a,F1_Young
Kdm5b,F1_Young
Kdsr,F1_Young
Khdrbs1,F1_Young
Kif3a,F1_Young
Kifbp,F1_Young
Klc1,F1_Young
Klf15,F1_Young
Klhl28,F1_Young
Kmt2a,F1_Young
Kras,F1_Young
Kyat1,F1_Young
Ldah,F1_Young
Ldhb,F1_Young
Letm2,F1_Young
Lmcd1,F1_Young
Lnpep,F1_Young
Lnx1,F1_Young
Lrrc1,F1_Young
Lsm1,F1_Young
Lsm14a,F1_Young
Luc7l,F1_Young
Malsu1,F1_Young
Maml3,F1_Young
Map2k1,F1_Young
Map3k20,F1_Young
Map4k5,F1_Young
Mapre3,F1_Young
Marchf6,F1_Young
Mark1,F1_Young
Mau2,F1_Young
Mbnl2,F1_Young
Mbtps1,F1_Young
Mcee,F1_Young
Mdm4,F1_Young
Med13l,F1_Young
Med27,F1_Young
Medag,F1_Young
Mettl8,F1_Young
Mfsd11,F1_Young
Mfsd8,F1_Young
Mical2,F1_Young
Micu3,F1_Young
Mief1,F1_Young
Mindy1,F1_Young
Mios,F1_Young
Mipep,F1_Young
Mir670hg,F1_Young
Mix23,F1_Young
Mknk1,F1_Young
Mmaa,F1_Young
Mms19,F1_Young
Morrbid,F1_Young
Mplkip,F1_Young
Mrpl37,F1_Young
Msl2,F1_Young
Mto1,F1_Young
