"","converged","iter","deviance","df_resid","phi_hat","mu_weighted","pmin","pmax","m_eff","theta_map","terms","rank","p_model","error","coef_X.Intercept.","se_X.Intercept.","stat_X.Intercept.","p_X.Intercept.","coef_sexM","se_sexM","stat_sexM","p_sexM"
"Ppp2ca",TRUE,4,144.856205290757,93,1.55759360527696,0.395046914320962,0.372881355932219,0.444444444444444,1.1788528057733,998.999999999999,"sex",2,0.474200701931749,FALSE,-0.51987545928584,0.28981215581061,-1.79383593428557,0.0760892641172934,0.296731907971631,0.413401163219114,0.717781986052019,0.474690918266629
"Ppp2r2a",TRUE,3,334.679484570581,227,1.474358962866,0.500809027039991,0.471428571432686,0.521212121211729,1.33190462203,998.999999999999,"sex",2,0.403684808755824,FALSE,0.0848994437849145,0.161443090275939,0.525878460575824,0.59948601400643,-0.199309794946145,0.238384435536373,-0.836085604740477,0.403985962861185
"Ppp2r3a",TRUE,3,343.159044004415,231,1.4855369870321,0.551469356673477,0.528205128205128,0.59322033812114,1.34420281075904,998.999999999999,"sex",2,0.282724095664188,FALSE,0.112940411180593,0.149604005732969,0.754929058398224,0.451060531947118,0.264353816389078,0.246122159945375,1.0740756397057,0.283909446032947
"Ppp2r5a",TRUE,4,302.522513324729,200,1.51261256662365,0.494791666666667,0.40625,0.5625,1.19029658156986,998.999999999999,"sex",2,0.0227026071773693,FALSE,0.251314428280907,0.200888197413892,1.25101639377609,0.212389937367043,-0.630804049985811,0.276373725272503,-2.28243133229775,0.02351588996851
"Ppp2r5c",TRUE,4,195.894961008287,137,1.42989022633786,0.421309263685824,0.402061855670103,0.445945945945946,1.22923768871987,998.999999999999,"sex",2,0.575810128021823,FALSE,-0.217064505237826,0.240017162032393,-0.904370768322522,0.367386403111002,-0.179816859178947,0.320587161001876,-0.560898504534605,0.575782952028432
"Ppp3cb",TRUE,3,185.449819200151,120,1.54541516000126,0.487527217246148,0.45588235295179,0.520547945205479,1.15560436717548,998.999999999999,"sex",2,0.469380519249136,FALSE,-0.176930708116289,0.257593906084542,-0.686859059694604,0.493496753901633,0.25916880635326,0.357473223546808,0.725002012127837,0.469862163898272
"Ppp4r3a",TRUE,4,127.057415226153,86,1.47741180495527,0.578600522441979,0.517241379310345,0.627906976744186,1.14098779614271,998.999999999999,"sex",2,0.290454206760943,FALSE,0.523248143764547,0.329828212239771,1.58642627994529,0.116312895664451,-0.454255272277595,0.429244234985858,-1.05826761375738,0.292896908239658
"Ppp4r3b",TRUE,3,92.7461836237765,58,1.59907213144442,0.466588966591284,0.393939393945475,0.512820512820436,1.20150675825375,998.999999999999,"sex",2,0.35386640467434,FALSE,0.0512932943872432,0.346400570681985,0.148075086268646,0.88279710644589,-0.482076210454229,0.518060841766229,-0.930539758246701,0.355948776809492
"Prdm10",TRUE,4,84.8958011547525,56,1.51599644919201,0.583333333333334,0.529411764705882,0.631578947368421,1.23902503272117,998.999999999999,"sex",2,0.411811344869597,FALSE,0.117783035656383,0.364900949960664,0.322780841401153,0.748063337882356,0.421213465076302,0.510598425810434,0.824940782783931,0.412905465016198
"Prdm2",TRUE,4,156.60462704774,114,1.37372479866439,0.444632290786142,0.307692307692325,0.505494505494506,1.12264967351113,998.999999999999,"sex",2,0.0398883889603887,FALSE,-0.810930216216249,0.350935314695883,-2.31076834464207,0.0226438623120714,0.832909122935026,0.41004167015177,2.031279217614,0.0445526142722555
"Prdm5",TRUE,3,91.8498317321201,64,1.43515362081438,0.631266987581162,0.538461538450407,0.827586206896222,1.24414819829491,998.999999999999,"sex",2,0.0155242221815243,FALSE,0.154150679782468,0.300757433595708,0.512541545322814,0.610036497194001,1.41446523812907,0.610699036132482,2.3161412650768,0.0237651900100397
"Prex2",TRUE,3,764.356122434951,507,1.5076057641715,0.428650413257072,0.425196851773688,0.430513595166598,1.79947005927618,1.73918417800793,"sex",2,0.89069270337939,FALSE,-0.279756007177588,0.0831067887610579,-3.36622328149293,0.000819888886049633,-0.0217193817602054,0.157998538765906,-0.137465712846783,0.890717266451782
"Prickle2",TRUE,4,330.860687563906,195,1.6967214746867,0.601429924563171,0.506849315068493,0.703947368421042,1.50368236333572,998.999999999999,"sex",2,0.00246821707180083,FALSE,0.0273989741881132,0.188643033153531,0.145242438748396,0.884669476773715,0.838767370503424,0.276734645761463,3.03094456494767,0.00276878567573927
"Prkacb",TRUE,3,199.538634081843,133,1.50029048181837,0.509742766266243,0.489361702127661,0.538461538461516,1.17758479107784,998.999999999999,"sex",2,0.560180924766232,FALSE,-0.0425596144187914,0.215166446157812,-0.19779856561639,0.843504663377917,0.196710294245959,0.337070664335342,0.583587701510143,0.5604861071352
"Prkag1",TRUE,3,94.2703911373783,62,1.52049017963513,0.495093256927273,0.463414634366439,0.529411764701511,1.17186524757291,998.999999999999,"sex",2,0.589493368798393,FALSE,0.117783035638837,0.360630874318453,0.326602750974752,0.745068366009464,-0.264386508945585,0.487964212396411,-0.54181536725239,0.589887657268183
"Prkca",TRUE,4,438.121894782864,251,1.74550555690384,0.453416600373638,0.401515151515152,0.482300884955752,1.41470909510848,998.999999999999,"sex",2,0.189801427030632,FALSE,-0.0708260525686128,0.150326391416254,-0.471148491634416,0.637943925466405,-0.328329886346286,0.250598902857634,-1.31018086113813,0.191332383910738
"Prkce",TRUE,3,402.443369811634,267,1.50727853862035,0.545083760910256,0.537735849056604,0.552795031042382,1.38638314418374,998.999999999999,"sex",2,0.782881304635565,FALSE,0.211970250661402,0.166231705212113,1.27514934886174,0.203364820599439,-0.0607392809374788,0.220234826985109,-0.27579326017127,0.782920193010637
"Prkg1",TRUE,4,1072.62126838261,846,1.26787383969576,0.130621073633543,0.11917876840255,0.141430948483295,4.44618830341664,0.084281729436601,"sex",2,0.0745736522832215,FALSE,-1.80345550846424,0.0771139573496385,-23.3868883201945,1.08074617247223e-93,-0.196774560217271,0.110257504114745,-1.78468179374429,0.0746711882576308
"Prpf39",TRUE,4,229.746578225948,159,1.4449470328676,0.531291243088996,0.490740740740741,0.585714285714285,1.10503647050368,998.999999999999,"sex",2,0.227769157967992,FALSE,-0.0370412716803479,0.197425302318162,-0.187621704236541,0.851412429079637,0.38331750839818,0.317666203642332,1.20666757748573,0.229352424103847
"Prrc2c",TRUE,4,249.421504641687,174,1.43345692322809,0.54994965869074,0.51639344262295,0.590361445783133,1.16416926266281,998.999999999999,"sex",2,0.30813837696461,FALSE,0.365459773494465,0.228347982533388,1.60045107226218,0.111312621241468,-0.299862491008655,0.2941008598481,-1.01959066411275,0.30933817615544
"Prrx1",TRUE,4,132.147467119354,82,1.61155447706529,0.583075221238938,0.5625,0.6,1.3460069923636,998.999999999999,"sex",2,0.714873073723611,FALSE,0.405465108108164,0.275974858756902,1.46921031116579,0.145601950986686,-0.154150679827257,0.420409896958351,-0.366667580717131,0.714811445207661
"Psma3",TRUE,4,147.356365472445,97,1.51913778837572,0.392223271241439,0.37931034482768,0.40677966101695,1.18050579564748,998.999999999999,"sex",2,0.775739528250599,FALSE,-0.377294231141463,0.282190742649112,-1.33701845638007,0.184343768027122,-0.115182253955934,0.403308650877093,-0.285593313472058,0.775798593247479
