gene,pvalue_hom,cell_type,condition
Rhoh,0.479500122186953,B_cell,F1_Young
Ripor2,0.463488945510573,B_cell,F1_Young
Rsbn1l,0.781511294998713,B_cell,F1_Young
Runx1,0.781511294998713,B_cell,F1_Young
Samhd1,0.763024600552995,B_cell,F1_Young
Senp7,0.55502757851048,B_cell,F1_Young
Serinc3,0.131668016022814,B_cell,F1_Young
Sh3bp5,0.527089256865538,B_cell,F1_Young
Sik3,0.763024600552995,B_cell,F1_Young
Smc6,0.503720141436728,B_cell,F1_Young
Smchd1,0.79625341473764,B_cell,F1_Young
Smg1,0.365712296281513,B_cell,F1_Young
Smim14,0.53709397844264,B_cell,F1_Young
Smyd3,0.180195934423856,B_cell,F1_Young
Snx2,0.80836515591451,B_cell,F1_Young
Snx29,0.527089256865538,B_cell,F1_Young
Ssh2,0.165517858697466,B_cell,F1_Young
St6gal1,0.715709657779925,B_cell,F1_Young
St8sia4,0.11984427724009,B_cell,F1_Young
Stag1,0.781511294998713,B_cell,F1_Young
Stk17b,0.414216178242525,B_cell,F1_Young
Strn3,0.317310507862911,B_cell,F1_Young
Swap70,0.200764751595283,B_cell,F1_Young
Syk,0.303483664024839,B_cell,F1_Young
Tbc1d5,0.787725767684864,B_cell,F1_Young
Tcf12,0.24821307898992,B_cell,F1_Young
Tcf4,0.157299207050281,B_cell,F1_Young
Tmem131l,0.781511294998713,B_cell,F1_Young
Tmem163,0.0338948535246893,B_cell,F1_Young
Trip12,0.945626877568907,B_cell,F1_Young
Tut4,0.796253429434384,B_cell,F1_Young
Txndc16,0.317310507862911,B_cell,F1_Young
Wasf2,0.73252200175843,B_cell,F1_Young
Washc4,0.131668016022814,B_cell,F1_Young
Wdfy4,0.34577858615116,B_cell,F1_Young
Zcchc7,0.188353097113792,B_cell,F1_Young
Zeb1,0.0577795701714431,B_cell,F1_Young
Zfr,0.24821307898992,B_cell,F1_Young
1700025G04Rik,0.763024600552995,Cardiac_Neuronal,F1_Aged
9530026P05Rik,0.24821307898992,Cardiac_Neuronal,F1_Aged
Abca8a,0.117035421404442,Cardiac_Neuronal,F1_Aged
Abca8b,0.0516919498998412,Cardiac_Neuronal,F1_Aged
Ablim1,0.393777614768548,Cardiac_Neuronal,F1_Aged
Adam23,0.676565447426338,Cardiac_Neuronal,F1_Aged
Adgrg6,0.365712296281513,Cardiac_Neuronal,F1_Aged
Agap1,1,Cardiac_Neuronal,F1_Aged
Ago3,0.221141830751457,Cardiac_Neuronal,F1_Aged
Airn,0.0712400402629937,Cardiac_Neuronal,F1_Aged
Ank3,0.621878724979405,Cardiac_Neuronal,F1_Aged
Anks1,0.949645503564114,Cardiac_Neuronal,F1_Aged
Ano6,0.781511294998713,Cardiac_Neuronal,F1_Aged
Aopep,0.732661657825006,Cardiac_Neuronal,F1_Aged
App,0.80836515591451,Cardiac_Neuronal,F1_Aged
Arhgap24,0.554497261150034,Cardiac_Neuronal,F1_Aged
Arhgef12,0.334532507122714,Cardiac_Neuronal,F1_Aged
Arid1b,0.0869349688263599,Cardiac_Neuronal,F1_Aged
Arih1,0.0455002638963584,Cardiac_Neuronal,F1_Aged
Arl15,0.969456403711901,Cardiac_Neuronal,F1_Aged
Atxn1,0.984373859839193,Cardiac_Neuronal,F1_Aged
Cadm2,0.076551909124125,Cardiac_Neuronal,F1_Aged
Camk2d,0.405380558014064,Cardiac_Neuronal,F1_Aged
Ccdc50,0.705456986111273,Cardiac_Neuronal,F1_Aged
Cdh19,0.600523715607471,Cardiac_Neuronal,F1_Aged
Celf2,0.371093369522698,Cardiac_Neuronal,F1_Aged
Chd9,0.92315366596369,Cardiac_Neuronal,F1_Aged
Clic4,0.13166802784767,Cardiac_Neuronal,F1_Aged
Col5a2,0.24821307898992,Cardiac_Neuronal,F1_Aged
Cped1,0.491297124215893,Cardiac_Neuronal,F1_Aged
Deptor,0.365712296281513,Cardiac_Neuronal,F1_Aged
Dip2c,0.365712296281513,Cardiac_Neuronal,F1_Aged
Dlc1,0.28504940740261,Cardiac_Neuronal,F1_Aged
Dleu2,1,Cardiac_Neuronal,F1_Aged
Dnajc1,1,Cardiac_Neuronal,F1_Aged
Dock1,0.563702861650773,Cardiac_Neuronal,F1_Aged
Dst,0.130570016503506,Cardiac_Neuronal,F1_Aged
Ebf1,0.572964461535478,Cardiac_Neuronal,F1_Aged
Ehbp1,0.130434168278716,Cardiac_Neuronal,F1_Aged
Elmo1,0.781511294998713,Cardiac_Neuronal,F1_Aged
Etl4,0.28504940740261,Cardiac_Neuronal,F1_Aged
Ext1,0.682406118391093,Cardiac_Neuronal,F1_Aged
Fam20a,0.0271110774484948,Cardiac_Neuronal,F1_Aged
Fbxl17,0.59387801167711,Cardiac_Neuronal,F1_Aged
Fmnl2,0.058781721355359,Cardiac_Neuronal,F1_Aged
Foxo1,0.405380558014064,Cardiac_Neuronal,F1_Aged
Frmd4a,0.0555110980978711,Cardiac_Neuronal,F1_Aged
Frmd5,0.0325099908693045,Cardiac_Neuronal,F1_Aged
Fxr1,0.763024600552995,Cardiac_Neuronal,F1_Aged
Gab2,0.776011845095372,Cardiac_Neuronal,F1_Aged
Glis3,0.102470434859749,Cardiac_Neuronal,F1_Aged
Gmds,0.365712296281513,Cardiac_Neuronal,F1_Aged
Gnaq,0.507269874188236,Cardiac_Neuronal,F1_Aged
Gphn,0.214941903087886,Cardiac_Neuronal,F1_Aged
Grb14,0.7390687602121,Cardiac_Neuronal,F1_Aged
Gulp1,0.222077194676939,Cardiac_Neuronal,F1_Aged
Heg1,0.259647265701529,Cardiac_Neuronal,F1_Aged
Hivep2,0.058781721355359,Cardiac_Neuronal,F1_Aged
Igf1r,0.669815364964286,Cardiac_Neuronal,F1_Aged
Iqgap2,0.075559757989761,Cardiac_Neuronal,F1_Aged
Itga1,0.947710155548681,Cardiac_Neuronal,F1_Aged
Itpr2,0.763024617680466,Cardiac_Neuronal,F1_Aged
Kcna1,0.179712493859926,Cardiac_Neuronal,F1_Aged
Kif13b,0.342211491999331,Cardiac_Neuronal,F1_Aged
Klf12,0.763024600552995,Cardiac_Neuronal,F1_Aged
Klf7,0.0595213766560426,Cardiac_Neuronal,F1_Aged
Lama2,0.204421426084309,Cardiac_Neuronal,F1_Aged
Lamc1,0.13072931971382,Cardiac_Neuronal,F1_Aged
Ldb2,0.372371708856233,Cardiac_Neuronal,F1_Aged
Ldlrad4,0.301756611431196,Cardiac_Neuronal,F1_Aged
Lncpint,0.547462810669955,Cardiac_Neuronal,F1_Aged
Lpp,0.224915884015959,Cardiac_Neuronal,F1_Aged
Lrch1,0.438879255970839,Cardiac_Neuronal,F1_Aged
Magi1,0.363105053122166,Cardiac_Neuronal,F1_Aged
Malat1,0.579034859401029,Cardiac_Neuronal,F1_Aged
Map3k3,0.725015280962271,Cardiac_Neuronal,F1_Aged
Mast4,0.150053983005807,Cardiac_Neuronal,F1_Aged
Mbnl2,0.740628462526778,Cardiac_Neuronal,F1_Aged
Mir99ahg,0.22525290636065,Cardiac_Neuronal,F1_Aged
Mpp7,0.414925665626231,Cardiac_Neuronal,F1_Aged
Mycbp2,0.365712296281513,Cardiac_Neuronal,F1_Aged
Neat1,0.194791172939868,Cardiac_Neuronal,F1_Aged
Nedd4,0.929494259110903,Cardiac_Neuronal,F1_Aged
Nf1,1,Cardiac_Neuronal,F1_Aged
Nfia,0.284863615871487,Cardiac_Neuronal,F1_Aged
Nfib,0.404583546814272,Cardiac_Neuronal,F1_Aged
Ntn1,0.20124262095772,Cardiac_Neuronal,F1_Aged
Ntng1,0.490849458952503,Cardiac_Neuronal,F1_Aged
Numb,0.839438228806775,Cardiac_Neuronal,F1_Aged
Pakap,0.840786048783812,Cardiac_Neuronal,F1_Aged
Pan3,0.99999997211687,Cardiac_Neuronal,F1_Aged
Pde10a,0.229653510130605,Cardiac_Neuronal,F1_Aged
Pde7b,0.824349546161759,Cardiac_Neuronal,F1_Aged
Pdlim5,0.637351888233937,Cardiac_Neuronal,F1_Aged
Pdzd2,0.617075077451974,Cardiac_Neuronal,F1_Aged
Pitpnc1,0.80836515591451,Cardiac_Neuronal,F1_Aged
Plce1,0.22525290636065,Cardiac_Neuronal,F1_Aged
Plxdc2,0.262192098656607,Cardiac_Neuronal,F1_Aged
