"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Nfatc1",0.480555555555556,60,-48.2064386460437,-47.9389118239109,-0.267526822132702,0.464489917130652,0.999997774956151
"Nfatc2",0.644194756554307,89,-66.5832724772931,-66.3126473016545,-0.270625175638557,0.46191500183353,0.999997774956151
"Nfe2l2",0.491749174917492,101,-83.9403162199721,-83.9306900592818,-0.00962616069028854,0.889645544851124,0.999997774956151
"Nfia",0.558961421213077,151,-148.722005965312,-148.708250794657,-0.0137551706555428,0.868265224793946,0.999997774956151
"Nfib",0.439532967032967,70,-76.9075453477485,-76.8823341602439,-0.0252111875046666,0.822329933028419,0.999997774956151
"Nfkb1",0.484539270253556,98,-79.465398299169,-79.4136979958149,-0.0517003033540675,0.747786318222181,0.999997774956151
"Nfkbiz",0.532863849765258,71,-56.8058751800304,-56.7858954893202,-0.0199796907102439,0.841560020094105,0.999997774956151
"Nfxl1",0.475925925925926,90,-69.6413003127673,-69.6384851108788,-0.0028152018885379,0.940186055607012,1
"Nhsl1",0.133986928104575,51,-25.1685284887065,-24.7469849787796,-0.421543509926856,0.358515371568177,0.999997774956151
"Niban1",0.442717086834734,119,-97.5578006218621,-97.4136898082034,-0.144110813658699,0.591362413485815,0.999997774956151
"Niban2",0.474747474747475,33,-27.8103766181499,-27.5629296469901,-0.247446971159835,0.481752312943169,0.999997774956151
"Nipbl",0.480460704607046,205,-178.532974263257,-178.519567959006,-0.0134063042513048,0.869931449682876,0.999997774956151
"Nisch",0.623015873015873,84,-62.1276512128049,-61.9350492468519,-0.192601965953017,0.534831254483406,0.999997774956151
"Nktr",0.582083333333333,120,-92.3908552681378,-92.3039469929086,-0.0869082752291774,0.676741955913667,0.999997774956151
"Nlk",0.400709219858156,94,-76.1661923950744,-75.5367934460477,-0.629398949026665,0.261878754778637,0.999997774956151
"Nlrc4",0.591666666666667,60,-46.5918146533144,-46.1350909645757,-0.456723688738762,0.339201379634068,0.999997774956151
"Npepps",0.521825396825397,84,-64.7294302272463,-64.5741043719119,-0.155325855334326,0.577280544755245,0.999997774956151
"Nptn",0.516203703703704,108,-89.8726598547983,-89.841300422285,-0.0313594325133124,0.80224915045976,0.999997774956151
"Nr2c2",0.46969696969697,55,-43.0375125893573,-42.7440062622831,-0.293506327074248,0.443576637387241,0.999997774956151
"Nr3c1",0.478067226890756,170,-156.549701254301,-154.104746905781,-2.44495434852021,0.0270141147661871,0.522669599841598
"Nr3c2",0.589080459770115,58,-51.3830460966479,-50.7409299194368,-0.642116177211122,0.257113581267278,0.999997774956151
"Nr6a1",0.328767123287671,73,-56.8641744990644,-46.878823008945,-9.98535149011941,7.86378526103151e-06,0.00303935300338868
"Nrdc",0.446598639455782,98,-73.3537226857327,-73.1290437663204,-0.224678919412312,0.502640064294206,0.999997774956151
