gene,Category,glm_ar,aspen_ar
Gm37459,Overlap,0.7513761013659439,0.7478
Gm38134,Overlap,0.2957816879148331,0.2793
Gm39214,Overlap,0.8153044419103747,0.8478
Gm40124,Overlap,0.08771675114007972,0.0807
Gm40457,Overlap,0.25108517315675327,0.229
Gm40528,Overlap,0.8878247838217347,0.8341
Gm40604,Overlap,0.7869324587819799,0.7956
Gm40649,Overlap,0.715198466821934,0.7223
Gm40652,Overlap,0.03348146843734169,0.0361
Gm40999,Overlap,0.3347338384128069,0.3019
Gm4107,GLM_only,0.651053788984384,0.5829
Gm41505,Overlap,0.6923696311150238,0.6532
Gm41664,Overlap,0.28238290414262524,0.2586
Gm42209,Overlap,0.6449859852317237,0.6328
Gm42413,GLM_only,0.31523171554780743,0.3983
Gm43361,Overlap,0.5961392282312921,0.5963
Gm44127,Overlap,0.3114723812044373,0.3305
Gm44710,Overlap,0.30752384208213496,0.3498
Gm45037,Overlap,0.02531568378739232,0.0303
Gm45670,Overlap,0.9048246202589038,0.9078
Gm45871,Overlap,0.15222471959194256,0.2206
Gm46218,Overlap,0.8172779575608918,0.7885
Gm47200,Overlap,0.027282405202777922,0.0789
Gm47603,Overlap,0.3290999777509195,0.377
Gm47889,Overlap,0.8361034784890805,0.7846
Gm49891,Overlap,0.30334027583859224,0.2737
Gm50100,Overlap,0.7946860666686072,0.7761
Gm50114,Overlap,0.7581853145640358,0.7511
Gm50194,Overlap,0.36549848369552534,0.3456
Gm5427,Overlap,0.2913555810309602,0.292
Gm5481,Overlap,0.3220193706558063,0.328
Gm56450,Overlap,0.30764595840138925,0.3141
Gm56602,GLM_only,0.33597517954933864,0.2785
Gm56624,Overlap,0.31120815293333176,0.3694
Gm56646,Overlap,0.9715623008233981,0.9693
Gm56707,Overlap,0.16651803580187488,0.1367
Gm56730,Overlap,0.9623242574415627,0.9547
Gm56843,Overlap,0.9609985509539352,0.947
Gm57127,Overlap,0.8601292282208323,0.8642
Gm57283,Overlap,0.8620313630396322,0.8475
Gm57403,Overlap,0.7009440121893723,0.6602
Gm57414,Overlap,0.9181139105979366,0.9259
Gm5860,Overlap,0.8656572105677117,0.9016
Gm6994,Overlap,0.0611112551447469,0.0642
Gm7933,Overlap,0.03766576947019504,0.0605
Gm8189,Overlap,0.9348434911836689,0.9296
Gm9895,Overlap,0.8122279463156493,0.7888
Gm9934,Overlap,0.2840995882595961,0.3051
Gnao1,Overlap,0.8142063886852234,0.7556
Gnb1l,Overlap,0.26067950538846824,0.2746
Gpcpd1,GLM_only,0.5201175218889181,0.5015
Gpi1,Overlap,0.633839912924237,0.6009
Gramd1a,Overlap,0.11949366994142867,0.113
Gramd1b,Overlap,0.7461008510879393,0.743
Grb10,Overlap,0.7095626267112175,0.8158
Grk5,Overlap,0.6774395369332323,0.6878
Grm1,Overlap,0.9900630099941076,0.9908
Gsap,Overlap,0.10763352383548452,0.1048
Gsg1l,Overlap,0.2740625882646099,0.2782
Gsta5,Overlap,0.08293743972880042,0.092
Gtf2ird1,Overlap,0.3012838046687196,0.3228
Gzmm,Overlap,0.301024385983323,0.3259
Hadh,Overlap,0.31664271692320956,0.3239
Hand2os1,Overlap,0.5938499511713183,0.6024
