"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Ankrd12",0.540849673202614,102,0.241008099503795,13.4845009323011,1,1
"Ankrd17",0.522717622080679,157,0.0398010080579752,-5.62642716530431,0,0
"Ankrd33b",0.64429012345679,108,0.797183117000313,-13.2851828177897,0,0
"Ankrd44",0.507575757575758,99,0.0790715709911991,20.2112116846468,1,1
"Anks1",0.522222222222222,45,0.289506617194985,3.22574763405223,1,1
"Ano6",0.48258547008547,156,0.060120992437571,-16.3248845626865,0,0
"Anxa2",0.456480117820324,97,-0.296981737757132,-13.6086933697282,0,0
"Anxa3",0.512886597938144,97,0.104336659814736,-17.1903842042987,0,0
"Aopep",0.522809242040011,169,0.0382193222304903,12.8347459674506,1,1
"Ap1g1",0.569010416666667,64,0.510194732319184,1.83392925899904,1,1
"Ap2b1",0.533088235294118,68,0.263034405833794,4.08411551408159,1,1
"Ap3b1",0.601325757575758,88,0.723482364802584,6.9047312486921,1,1
"Ap3s1",0.573446327683616,59,0.357552004618083,0.911143729613954,1,1
"Apba1",0.602619047619048,105,0.578536231561723,-16.4121086179077,0,0
"Apbb2",0.483752620545073,159,-0.111748357652456,5.65372364856646,1,1
"Apc",0.451713395638629,107,-0.144389909335175,35.2245679439784,1,1
"Aplp2",0.472983870967742,124,-0.137503523749935,30.7801647472271,1,1
"Apoe",0.47720744863602,168,-0.151164073333651,-13.6446771449209,0,0
"App",0.511147186147186,235,-0.0256258076754947,0.53666977625295,1,1
"Appbp2",0.453389830508475,59,-0.263034405833794,1.35304999319019,1,1
"Aqp1",0.570090326340326,104,0.186413124230881,-20.7407657980922,0,0
"Arb2a",0.487641723356009,147,-0.0598714559773985,-20.1496648946762,0,0
"Arf4",0.410416666666667,80,-0.401362562381767,12.3493116025166,1,1
"Arfgef1",0.615972222222222,120,0.488286481309482,35.2065181343324,1,1
"Arhgap10",0.463888888888889,60,-0.118644496498619,1.36914191706082,1,1
"Arhgap18",0.668181818181818,44,0.855610090664825,2.02414830121423,1,1
"Arhgap21",0.51010101010101,66,0.405992359675837,4.48803379925391,1,1
"Arhgap24",0.624819624819625,33,1.2667865406949,-11.2587916683956,0,0
"Arhgap26",0.52043363572026,157,0.00939869800224979,-11.7193919399368,0,0
"Arhgap29",0.629376498800959,139,0.548304030142308,-25.1794699643437,0,0
"Arhgap32",0.504464285714286,56,-0.174029399775049,2.36281195005404,1,1
"Arhgap42",0.305392156862745,102,-0.954196310386875,-11.1885475564749,0,0
"Arhgap5",0.3625,60,-0.884522782580064,2.72477368867699,1,1
"Arhgef11",0.516339869281046,51,0.215728691055437,2.01374988110577,1,1
"Arhgef12",0.450314465408805,159,-0.162271428898877,-6.05784427460529,0,0
"Arhgef15",0.514957264957265,78,0.252766070379967,6.8974087009787,1,1
"Arhgef2",0.614942528735632,58,0.704544116473829,-7.09772762183341,0,0
"Arhgef3",0.612451115711985,138,0.599462070416271,-18.548571235359,0,0
"Arid1b",0.505312339989759,186,0.166819090574491,-3.79952421675645,0,0
"Arid2",0.506782945736434,86,0.0715532610250338,7.91649206607602,1,1
"Arid4b",0.510416666666667,96,-0.0766212816029124,6.76993521391641,1,1
"Arid5b",0.525,70,0.17687776208408,6.21782852435199,1,1
"Arih1",0.465085870413739,183,-0.151065974190996,8.96249879895799,1,1
