"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj"
"Mrps17",NA,474,0.0286172413630742,0.989293091961727,0.0286172413630742,1.03037565058802,1.31961609585728,0.0881216074674128
"Mrps18a",NA,565,0.909532875161664,0.860020666580274,0.860020666580274,1.05008140947442,1.33414493815813,0.873429584575895
"Mrps21",NA,259,0.00676380788256558,0.38434047367446,0.00676380788256558,1.02409389620963,1.34392221986538,0.0284205685795983
"Mrps23",NA,198,0.179698429428149,0.481326505276584,0.179698429428149,1.00436968619907,1.27504902566293,0.31790093973199
"Mrps27",NA,412,0.000311774900879747,0.380026153821758,0.000311774900879747,1.07481300546871,1.32142609018421,0.0019968740615051
"Mrps28",NA,919,0.167900304065415,0.172011270229435,0.167900304065415,1.15941893573397,1.38058399022664,0.304520815169374
"Mrps33",NA,693,0.00961432784956301,0.519560313908456,0.00961432784956301,1.04377389591833,1.34770059538031,0.0375089190086527
"Mrps35",NA,597,0.294762648336557,0.7566023812777,0.294762648336557,1.0633116367257,1.33722501396982,0.426442167049321
"Mrps36",NA,320,0.00406529288600871,0.0296466303837303,0.00406529288600871,1.09594436523504,1.33256246278094,0.0188462808664199
"Mrps5",NA,467,0.947260029060983,0.233645949002182,0.233645949002182,0.998993982779853,1.31962080798307,0.373173035155428
"Mrps6",NA,1076,0.753030656456789,0.555626113162357,0.555626113162357,1.13917759514896,1.41725160394805,0.634428373166979
"Mrps9",NA,1007,0.0150968222205215,0.303212531170642,0.0150968222205215,1.05125627733732,1.3853566575978,0.0543197581188635
"Mrrf",NA,396,0.376986444379648,0.518584823444631,0.376986444379648,1.06808286725338,1.32258087512638,0.493498183705919
"Mrtfa",NA,666,0.468005398859402,0.202474766116431,0.202474766116431,1.07116319157504,1.34563862999488,0.343777923258594
"Mrtfb",NA,1055,0.0166050846559335,0.0589802180602753,0.0166050846559335,1.09472070047443,1.40332985678406,0.0583113072712249
"Msantd2",NA,470,0.901110251656381,0.877034858324511,0.877034858324511,1.05602319468691,1.32027489001365,0.888488719536171
"Msantd3",NA,149,0.509724092430361,0.751289501345927,0.509724092430361,1.04011841816679,1.17468830840082,0.597981013623903
"Msh2",NA,120,0.167059220100108,0.0482293865475243,0.0482293865475243,1.03097576020068,1.08426768746372,0.128395270539644
"Msh3",NA,341,7.88103218643789e-07,0.644346279326983,7.88103218643789e-07,1.13969054535714,1.32726615960358,9.20132318741309e-06
"Msi2",NA,3385,0.0983658863215221,0.597601191373708,0.0983658863215221,1.07628247601104,1.6868208260108,0.212443456874605
"Msl2",NA,457,0.506256017345578,0.610404278434879,0.506256017345578,1.0380061924514,1.31976523571866,0.595351807798331
"Msra",NA,933,0.349045262537741,0.571247822361167,0.349045262537741,1.13117092492221,1.38316177821365,0.469688882269218
"Msrb1",NA,228,0.403987090094265,0.598781041019721,0.403987090094265,1.1270376268838,1.34016222945645,0.516033570067927
"Msrb2",NA,294,0.943600964149004,0.92462750610491,0.92462750610491,1.03627682698103,1.33868198567619,0.931398099113638
"Msrb3",NA,3196,0.00230310711510953,0.044925874248721,0.00230310711510953,1.24215003907716,1.68650328144305,0.0114396089673572
"Mss51",NA,215,0.0219624801187117,0.579748093089174,0.0219624801187117,1.07716302817569,1.31457713615548,0.0726875388029329
"Mt1",NA,397,0.0157478350803282,0.502438618564111,0.0157478350803282,1.12651926899654,1.32041071665276,0.0561421410638405
"Mta1",NA,145,0.16065938230999,0.932589674334365,0.16065938230999,0.996859641573316,1.15327215998151,0.297527823019496
"Mta3",NA,477,0.437965864447863,0.0856749690068557,0.0856749690068557,1.10492624681287,1.32071774112121,0.192867735281175
"Mtarc2",NA,168,0.514841156675401,0.0848550593813428,0.0848550593813428,1.08765332054546,1.23945936392272,0.191362371976172
"Mtch2",NA,1010,0.967894690281359,0.268011888101668,0.268011888101668,1.0428186968971,1.38648705173832,0.404285870776486
"Mtcl1",NA,136,0.130167307286778,0.0503353861128928,0.0503353861128928,1.02574845089204,1.14027180121162,0.132607128777013
"Mtdh",NA,789,0.824611981342388,0.577421253211466,0.577421253211466,1.04826897891375,1.35640001196854,0.65062708161007
"Mterf3",NA,257,0.0155011072001233,0.852121312948712,0.0155011072001233,1.00011414776513,1.34257590195508,0.0553873553711917
"Mtf1",NA,237,0.329318419666656,0.47749626665786,0.329318419666656,1.050489773968,1.33436353453377,0.455105254346058
"Mtf2",NA,480,0.635872920759975,0.284928679749324,0.284928679749324,1.10222341898916,1.32133607826154,0.417801329363959
"Mtfr1",NA,199,0.844173379468482,0.981336980720193,0.844173379468482,1.08709157625941,1.29051858744319,0.859769372002422
"Mtfr1l",NA,204,0.246462737784149,0.806898039517049,0.246462737784149,1.03356318255609,1.29051858744319,0.385375884531282
"Mtg2",NA,514,0.340182957030128,0.284904109333477,0.284904109333477,1.03979186900091,1.32446811560225,0.417801329363959
"Mthfd1",NA,318,0.789531149416451,0.6836474226786,0.6836474226786,1.08067882069354,1.33424771286725,0.733987256652559
"Mthfd2l",NA,115,0.307023047547767,0.736117024249113,0.307023047547767,1.11292838959168,1.07811403848446,0.436192983591648
"Mthfs",NA,606,3.74418812561617e-16,0.900293879355268,3.74418812561617e-16,1.05287623688588,1.33957507049651,1.27382916445694e-14
"Mthfsl",NA,187,0.16128505785996,0.287017414595755,0.16128505785996,1.06416874134393,1.25907706893098,0.298080512826327
"Mtif2",NA,602,0.414075513439894,0.903764180851183,0.414075513439894,1.05018935321669,1.34035228732094,0.524788673953064
"Mtmr10",NA,244,0.327252684263627,0.739667964353153,0.327252684263627,1.03319852302895,1.34388968572909,0.453538104691247
"Mtmr12",NA,212,0.468736234410918,0.694160557491087,0.468736234410918,1.06733843204669,1.31707721523875,0.568884328989699
"Mtmr2",NA,227,0.656030949267377,0.958918909077261,0.656030949267377,1.03069254998861,1.32180940240418,0.712979834753867
"Mtmr3",NA,2338,0.32870577389353,0.575497909877626,0.32870577389353,1.1284181764277,1.53326688289061,0.454556411101018
"Mtmr4",NA,98,0.314205797706902,0.24268559156754,0.24268559156754,0.97769228393227,1.01112306744493,0.381512807305446
"Mtmr6",NA,117,0.212734472796196,0.246692363536483,0.212734472796196,1.06108096461564,1.08730671848437,0.354538778997716
"Mto1",NA,359,0.106075011812192,0.617480305004834,0.106075011812192,1.06439567061839,1.32467283368427,0.222930147707589
"Mtor",NA,426,1.12132642057213e-05,0.70989608975191,1.12132642057213e-05,1.12461991185587,1.32149916981139,0.000106383112284564
"Mtpap",NA,968,0.0530917781804726,0.943012002763034,0.0530917781804726,1.05426892645638,1.38377903054471,0.138485066910977
"Mtpn",NA,214,0.0814812293493197,0.745883635603097,0.0814812293493197,1.04495928314356,1.31329563620543,0.186168478784975
"Mtr",NA,1015,4.9420156036789e-20,0.187507776136834,4.9420156036789e-20,1.13164818864794,1.39826141817731,2.38725761374657e-18
"Mtres1",NA,459,0.0624994136640821,0.747361225123354,0.0624994136640821,1.05582191914584,1.31979307760272,0.155768526847701
"Mtrex",NA,627,0.105564997820036,0.219088815401358,0.105564997820036,1.06258546031901,1.34252057271675,0.222449319415648
"Mtrf1l",NA,212,0.152837422456236,0.287637843841213,0.152837422456236,1.05188148873429,1.30237297581248,0.288322348384479
"Mtss1",NA,1443,2.45806882297231e-14,9.31078898294441e-07,2.45806882297231e-14,1.19301488728238,1.46271778982834,7.23472535431107e-13
"Mttp",NA,202,0.0033763113020482,0.389164305094426,0.0033763113020482,1.08192396368796,1.29653742619368,0.0159800283615266
"Mtus1",NA,1755,6.2539563581949e-05,0.217788030683352,6.2539563581949e-05,1.07776975305812,1.47902463056415,0.000497799192888771
"Mtus2",NA,247,1.76486856101469e-09,0.865516074994638,1.76486856101469e-09,1.08484440345033,1.34393872111887,3.04307581855612e-08
"Mtx2",NA,815,0.0810685597038112,0.310735738577928,0.0810685597038112,1.05161417345573,1.3606407429368,0.18546704475984
"Mtx3",NA,279,0.0926336047674958,0.920696936109476,0.0926336047674958,1.03800770846447,1.34315144369925,0.2041035692788
"Mvb12b",NA,101,0.53501510990221,0.762788695298179,0.53501510990221,0.953163421967385,1.0287819768188,0.617580374947315
"Mvp",NA,151,0.249002961912697,0.320896598115444,0.249002961912697,1.07046743513748,1.19598462664461,0.387213178767456
"Mxi1",NA,259,0.889546891950593,0.224939937421886,0.224939937421886,1.03397216098501,1.34398989401105,0.365533449194923
"Myadml2os",NA,423,0.408775171791455,0.316421361376097,0.316421361376097,1.01909775367696,1.32001574146626,0.444958749952877
"Mybpc3",NA,2374,1.0312217528483e-11,0.00709383079529719,1.0312217528483e-11,1.12635444408,1.54976053764909,2.38159534745404e-10
"Mycbp2",NA,2167,0.0448443782725988,0.14815834320976,0.0448443782725988,1.08559711370221,1.51274329123462,0.122001386805247
"Myh10",NA,307,0.000334673196369772,0.495296616558812,0.000334673196369772,1.09198730980964,1.33383164659333,0.00212631725565052
"Myh14",NA,469,0.468469232582414,0.865869074530539,0.468469232582414,1.05862275208742,1.31982505126555,0.568884328989699
"Myh6",NA,4432,1.84198815156071e-78,0.0338805495496836,1.84198815156071e-78,2.33237374108239,2.17846017618384,7.28506313942261e-76
"Myh7",NA,2556,0.221401243021564,0.482010256374707,0.221401243021564,1.12494005445797,1.55731179771154,0.362490832041516
"Myh7b",NA,2390,0.0258587837749286,0.351167570797433,0.0258587837749286,1.19255941361987,1.55597857813913,0.0823110582131531
"Myh9",NA,179,0.090590061648938,0.431798621853571,0.090590061648938,0.986310194287502,1.24369037801435,0.201141722847186
"Myl12a",NA,913,0.290321824839221,0.286335856871302,0.286335856871302,1.0785035893957,1.38735120938972,0.419429005157778
"Myl12b",NA,323,0.003876200096379,0.924659967778266,0.003876200096379,1.02762978540425,1.33424771286725,0.0180490023619472
"Myl2",NA,3005,1.5005492714868e-19,0.829121775157422,1.5005492714868e-19,1.32975454159898,1.64563727650279,6.98196749262385e-18
"Myl3",NA,2142,1.2226259637119e-08,0.420128606660691,1.2226259637119e-08,1.17399883783092,1.52715064348036,1.90092803399728e-07
"Myl4",NA,27,0.700327427619438,0.148131604373589,0.148131604373589,1.25516201728792,0.824982603823639,0.28234240737231
"Myl6",NA,362,0.273872126098863,0.692110525686134,0.273872126098863,0.998529039911264,1.32789763651455,0.408548518140878
"Mylk3",NA,2503,0.972304335445234,0.635705312654017,0.635705312654017,1.10721050959016,1.56207022061938,0.697787201816933
"Mylk4",NA,1403,4.66747221103358e-05,0.93367241769235,4.66747221103358e-05,1.22303748657384,1.46901339194458,0.000385081670813826
"Mynn",NA,233,0.242216023051094,0.674051717698406,0.242216023051094,1.02181967555607,1.33725317140985,0.381512807305446
"Myo10",NA,741,0.597999537711203,0.0473439067070342,0.0473439067070342,1.09751934240803,1.35411022196287,0.126623939831831
"Myo16",NA,268,0.00547556334614805,0.501528267582403,0.00547556334614805,1.07382252882441,1.33567146800306,0.0239291193746028
"Myo18a",NA,1221,0.0317018190869534,0.634349901900255,0.0317018190869534,1.03134137683158,1.41294614794677,0.0952107789189563
"Myo18b",NA,2273,0.0103717365691708,0.556979068509737,0.0103717365691708,1.0897426308451,1.53388733289689,0.0400197250059224
"Myo19",NA,602,3.64284913928699e-09,0.286601418999265,3.64284913928699e-09,1.05635645425419,1.33967550677421,6.01878573196034e-08
"Myo1b",NA,118,0.24240017192406,0.158219610068613,0.158219610068613,1.02038933013031,1.09032053646707,0.294301496917749
