gene,theta_glm,theta_asp,log2_ratio,underdisp,celltype,condition,chromosome
Ankrd55,1e-6,3.22242754307498,-20.61971693669485,TRUE,Cardiomyocyte,F1_Young,13
Asb18,1e-6,0.241080589440593,-16.879161955999777,TRUE,Cardiomyocyte,F1_Young,1
Atp2a2,0.0486041410121539,0.0571396322137824,-0.23340808145556183,TRUE,Cardiomyocyte,F1_Young,5
Avil,1e-6,0.421026119715924,-17.683553639366362,TRUE,Cardiomyocyte,F1_Young,10
BB218582,1e-6,0.402933872485629,-17.62018714511303,TRUE,Cardiomyocyte,F1_Young,2
Bend6,1e-6,3.15805704190122,-20.59060625603643,TRUE,Cardiomyocyte,F1_Young,1
Best3,1e-6,1.55712715220129,-19.57045625294282,TRUE,Cardiomyocyte,F1_Young,10
Blcap,1e-6,0.280150273982263,-17.095846527646408,TRUE,Cardiomyocyte,F1_Young,2
Cacna1c,0.0359342616452996,0.0477165880715349,-0.40912093216931406,TRUE,Cardiomyocyte,F1_Young,6
Ccdc134,1e-6,0.411624175840997,-17.65097169755839,TRUE,Cardiomyocyte,F1_Young,15
Cd28,1e-6,0.624885275724619,-18.253234129208536,TRUE,Cardiomyocyte,F1_Young,1
Cd44,1e-6,1.17103634909323,-19.159355659247243,TRUE,Cardiomyocyte,F1_Young,2
Cdcp3,1e-6,0.169379314547723,-16.369906688217608,TRUE,Cardiomyocyte,F1_Young,7
Cdh19,1e-6,0.648776074575175,-18.307363315291223,TRUE,Cardiomyocyte,F1_Young,1
Cds1,1e-6,0.436372459943014,-17.735203834638796,TRUE,Cardiomyocyte,F1_Young,5
Chrna9,1e-6,0.226488192478927,-16.78908268440344,TRUE,Cardiomyocyte,F1_Young,5
Clvs1,1e-6,0.271241032755729,-17.049221236058038,TRUE,Cardiomyocyte,F1_Young,4
Cntn5,1e-6,1.13311120227576,-19.111859295135805,TRUE,Cardiomyocyte,F1_Young,9
Cntnap5b,1e-6,0.282174993219193,-17.106235726947183,TRUE,Cardiomyocyte,F1_Young,1
Cubn,1e-6,0.780293122593739,-18.57365850767378,TRUE,Cardiomyocyte,F1_Young,2
Cyfip2,1e-6,0.293268215030423,-17.161866111321206,TRUE,Cardiomyocyte,F1_Young,11
Cyp2d22,1e-6,2.31243785462327,-20.14098378779721,TRUE,Cardiomyocyte,F1_Young,15
D830032E09Rik,1e-6,0.161192188161046,-16.298431252955776,TRUE,Cardiomyocyte,F1_Young,1
Ddc,1e-6,2.61441657594679,-20.31805815675993,TRUE,Cardiomyocyte,F1_Young,11
Depp1,1e-6,1.05179133338561,-19.004418455352326,TRUE,Cardiomyocyte,F1_Young,6
